SITE_NAME,WAREHOUSE_LOCATION,GENERATION_TYPE,SISTER_SITE,REPAIR_STATUS,EQUIPMENT_TYPE,LPH,AUTOMATION_LEVEL,AVERAGE_THROUGHPUT,PEAK_HOURS,REGION,PRIMARY_CARRIER,WEATHER_IMPACT,VENDOR,YEAR_BUILT,REPAIR_TYPE_ID
LHR2,USA,Gen11,No,Full,Sorter,28.99,Medium,1064134.52,Afternoon,Europe,UPS,No,Integrated,2013,12
HND8,Japan,Gen10,Yes,Partial,Sorter,30.25,Low,635864.68,Morning,North America,DHL,No,Vanderlande,2007,1
LAX1,UK,Gen9,No,Full,Packaging Machine,28.99,Lowest,496233.95,Afternoon,Europe,Amazon Logistics,No,Integrated,1997,13
MAD2,Spain,Gen11,No,Full,Conveyor,28.99,Medium,912551.39,Afternoon,Europe,UPS,Yes,Integrated,2014,3
DEN8,Japan,Gen12,No,Full,Conveyor,28.99,Highest,1654605.84,Afternoon,Europe,FedEx,Yes,Vanderlande,2020,2
ORD9,France,Gen12,No,Partial,Sorter,28.99,Highest,1344475.81,Afternoon,Europe,UPS,No,Vanderlande,2021,7
ATL8,USA,Gen9,No,Full,Robotic Arm,30.25,Lowest,430482.83,Afternoon,North America,Amazon Logistics,Yes,Siemens,1993,20
HND7,UK,Gen9,No,Partial,Palletizer,30.25,Lowest,462932.49,Afternoon,North America,UPS,No,Vanderlande,1993,11
SFO6,UK,Gen9,No,Partial,Conveyor,30.25,Lowest,403014.72,Afternoon,North America,DHL,No,Dematic,1996,14
JFK1,Germany,Gen12,No,Full,Sorter,15.5,Highest,1340589.11,Morning,Asia-Pacific,FedEx,Yes,Dematic,2020,12
MAD4,Germany,Gen11,No,Partial,Conveyor,30.25,Medium,1049164.73,Afternoon,North America,UPS,Yes,Siemens,2015,15
HND2,UK,Gen9,Yes,Partial,Packaging Machine,15.5,Lowest,410052.16,Night,Asia-Pacific,UPS,No,Integrated,1997,11
FRA1,France,Gen11,No,Partial,Conveyor,28.99,Medium,1071312.51,Evening,Europe,Amazon Logistics,No,Vanderlande,2015,8
ATL1,Japan,Gen10,No,Full,Robotic Arm,30.25,Low,637004.09,Morning,North America,FedEx,No,Integrated,2001,7
ATL5,Japan,Gen11,Yes,Full,Packaging Machine,30.25,Medium,936818.37,Afternoon,North America,DHL,No,Siemens,2017,6
SFO8,France,Gen9,Yes,Partial,Conveyor,28.99,Lowest,406948.75,Afternoon,Europe,UPS,No,Vanderlande,1991,16
LHR8,Germany,Gen11,Yes,Partial,Sorter,28.99,Medium,954223.87,Afternoon,Europe,UPS,Yes,Integrated,2011,1
MIA1,Germany,Gen11,Yes,None,Sorter,30.25,Medium,1083665.24,Morning,North America,FedEx,Yes,Vanderlande,2019,11
MIA2,Spain,Gen11,No,Full,Palletizer,30.25,Medium,1027610.98,Evening,North America,UPS,No,Integrated,2019,18
SEA1,USA,Gen10,No,None,Conveyor,30.25,Low,767880.91,Night,North America,Amazon Logistics,Yes,Dematic,2002,11
BOS5,Spain,Gen12,No,Full,Sorter,28.99,Highest,1447906.37,Afternoon,Europe,DHL,Yes,Vanderlande,2023,12
CDG8,USA,Gen9,Yes,Full,Robotic Arm,15.5,Lowest,477554.28,Morning,Asia-Pacific,Amazon Logistics,Yes,Siemens,1998,9
MIA3,Japan,Gen9,Yes,None,Sorter,15.5,Lowest,400110.15,Evening,Asia-Pacific,DHL,Yes,Integrated,1995,11
BOS7,Japan,Gen12,No,None,Packaging Machine,15.5,Highest,1675078.4,Evening,Asia-Pacific,DHL,No,Dematic,2022,11
DFW8,Spain,Gen10,Yes,None,Packaging Machine,30.25,Low,751271.57,Morning,North America,UPS,No,Siemens,2002,11
CDG9,Germany,Gen10,No,Partial,Sorter,30.25,Low,675726.27,Morning,North America,DHL,No,Siemens,2004,20
BOS1,Japan,Gen12,Yes,None,Palletizer,15.5,Highest,1592762.24,Afternoon,Asia-Pacific,UPS,No,Integrated,2022,11
ATL9,USA,Gen12,No,Partial,Robotic Arm,30.25,Highest,1552279.85,Night,North America,UPS,Yes,Integrated,2025,17
FRA8,USA,Gen10,Yes,Full,Palletizer,30.25,Low,723484.26,Morning,North America,UPS,No,Siemens,2007,6
ORD2,Germany,Gen12,Yes,Full,Packaging Machine,15.5,Highest,1650970.59,Night,Asia-Pacific,FedEx,No,Siemens,2021,6
MIA8,Spain,Gen10,Yes,None,Palletizer,28.99,Low,795737.74,Morning,Europe,DHL,Yes,Vanderlande,2009,11
